,name,x,y,country,geometry,inside_polygon,potential [MWel]
0,1,36.915,-1.2589,KE,"POLYGON ((36.93216202715809 -1.317856013579048, 36.8035017504774 -1.2535258752387, 36.82943622974264 -1.187020292519525, 36.84021774204513 -1.18380211053544, 36.96795882053398 -1.223891066018642, 36.9369698134026 -1.318117803149838, 36.93216202715809 -1.317856013579048))",False,0.0
1,12,38.12205,-2.78405,KE,"MULTIPOLYGON (((38.9891780374716 -3.597818520964833, 39.52689548652914 -3.746837827666096, 39.34737719388819 -4.011685594471447, 39.26808894929046 -4.096085545382785, 38.73668397125724 -4.124030429353553, 38.9891780374716 -3.597818520964833)), ((36.69895555698546 -1.541684040219185, 36.990829891986635 -1.654306445322681, 37.1784820536827 -2.198406473319847, 36.952699717390125 -2.642808190093998, 36.75950622600004 -2.532098531999907, 36.25125122200012 -2.265912532999891, 35.99622726400014 -2.102575063999836, 35.767868000892925 -1.973743041126389, 36.39849868619547 -1.550685325965011, 36.530820483285126 -1.525168356651198, 36.69895555698546 -1.541684040219185)))",False,0.0
2,13,38.25525714285714,-0.30045714285714287,KE,"MULTIPOLYGON (((39.09382748328984 -1.850243175055042, 39.020279240022646 -1.910813703047622, 38.602986897936134 0.126039826857215, 38.497744282613944 -0.000932370200799, 38.44132838183935 -0.059865402264064, 37.49460676765403 -0.331738919164055, 37.42889315068603 -0.25120295836876, 37.39221467528 -0.037866854241622, 38.240160214794635 0.788779306480039, 38.87115071030779 0.760251903461643, 39.803063758056155 1.68171119354439, 40.26846891789083 1.904148125577256, 40.3760434951783 1.949280642458735, 40.97893450880712 2.17034905776601, 40.99383163500016 1.823886037000022, 40.98867034900013 0.448475987, 40.99903106700009 0.405773996999983, 40.988632202000076 0.014013000999967, 41.00051498400006 1.000000168e-6, 41.00407254479219 -0.774290747057287, 40.25770615678333 -1.248769433918192, 39.93375493487338 -1.32967855014464, 39.40179312577657 -1.631420377565734, 39.09382748328984 -1.850243175055042)), ((36.697048301889474 -0.184454893983404, 36.64623944684311 -0.186544668148294, 36.606422457840225 -0.217246853879217, 36.60339049649124 -0.21699679175091, 36.350719546227594 -0.047721514676415, 36.011934259260414 0.296164584476566, 35.956821015123055 0.464683177042357, 36.024681254034085 0.932964038286072, 36.26404167030768 1.160587200104762, 37.00904467726659 0.971979431807269, 37.03004945495434 0.973107861570038, 37.266653297684925 0.19696016397466, 36.697048301889474 -0.184454893983404)))",True,1250.0
3,16,37.068,-0.0016,KE,"POLYGON ((37.39221467528 -0.037866854241622, 37.42889315068603 -0.25120295836876, 36.697048301889474 -0.184454893983404, 37.266653297684925 0.19696016397466, 37.39221467528 -0.037866854241622))",True,1250.0
4,2,35.263,0.5008,KE,"POLYGON ((35.227553147090816 0.354129650625341, 35.00707371924764 0.328831300645468, 34.999672776267346 0.411987616135993, 35.0546015936756 0.712932099141331, 35.613701935006866 0.943266076855624, 35.725330218061245 0.931551052951067, 35.227553147090816 0.354129650625341))",False,0.0
5,22,37.8881,-0.6002,KE,"POLYGON ((38.03507949282874 -0.74364272988765, 37.9984053382646 -0.758814979037897, 37.81133408924652 -0.691851975128017, 37.6863888194549 -0.604933526577319, 37.480404677564415 -0.40403664436549, 37.49460676765403 -0.331738919164055, 38.44132838183935 -0.059865402264064, 38.37566855517555 -0.297462798171397, 38.03507949282874 -0.74364272988765))",False,0.0
6,24,35.0531,1.0103,KE,"POLYGON ((35.0546015936756 0.712932099141331, 34.53837858926472 1.041104184370797, 34.51253847639899 1.071870823427751, 34.52227783100017 1.102421999000114, 34.57441711400003 1.102259039000103, 34.57934570300006 1.150148033000107, 34.648788452000076 1.179203987000108, 34.66953659100005 1.208178997000118, 34.7951507570001 1.223237038000036, 34.83074951100019 1.269333958000061, 34.829040528000064 1.309849977000113, 34.786674500000174 1.36644899900017, 34.80646515 1.38396096200006, 34.793815613000106 1.413705946000164, 34.84420776400003 1.457245946000057, 34.85092042308682 1.481352259682937, 35.613701935006866 0.943266076855624, 35.0546015936756 0.712932099141331))",False,0.0
7,29,37.5421,0.2519,KE,"POLYGON ((37.03004945495434 0.973107861570038, 37.054706843545844 0.982818666151449, 38.240160214794635 0.788779306480039, 37.39221467528 -0.037866854241622, 37.266653297684925 0.19696016397466, 37.03004945495434 0.973107861570038))",True,1250.0
8,31,34.8298,-0.0323,KE,"POLYGON ((35.0861308303682 0.049871714879191, 34.9551677075254 -0.185349759947397, 34.8864518010785 -0.187518352468354, 34.680617513845526 0.176353496123245, 34.70185658934379 0.193973623003088, 34.97616039471441 0.253334504214783, 35.0861308303682 0.049871714879191))",False,0.0
9,32,37.0288,-0.4314,KE,"POLYGON ((37.42889315068603 -0.25120295836876, 37.49460676765403 -0.331738919164055, 37.480404677564415 -0.40403664436549, 37.435312552107575 -0.48308303215674, 37.23896885536158 -0.739419369933091, 36.9256276218273 -0.750654514908303, 36.795992773310154 -0.717236465768515, 36.606422457840225 -0.217246853879217, 36.64623944684311 -0.186544668148294, 36.697048301889474 -0.184454893983404, 37.42889315068603 -0.25120295836876))",True,1250.0
10,34,36.9898,-1.2835,KE,"POLYGON ((36.96795882053398 -1.223891066018642, 37.03574108010547 -1.198001214765784, 37.18244591393739 -1.365261855172984, 37.13848163392042 -1.405485493351557, 37.00400176590301 -1.377791692807182, 36.9369698134026 -1.318117803149838, 36.96795882053398 -1.223891066018642))",False,0.0
11,35,36.7178,-1.182,KE,"POLYGON ((36.61453206566928 -0.898269950505061, 36.62180908139207 -0.894306724550772, 36.82943622974264 -1.187020292519525, 36.8035017504774 -1.2535258752387, 36.530820483285126 -1.525168356651198, 36.39849868619547 -1.550685325965011, 36.60618215985721 -0.909737267744424, 36.61453206566928 -0.898269950505061))",False,0.0
12,37,37.15614,1.4492733333333334,KE,"MULTIPOLYGON (((35.78136294678339 -0.716991603621474, 36.016945845248664 -0.630773320714941, 36.13148165055844 -0.608254549607624, 36.60339049649124 -0.21699679175091, 36.606422457840225 -0.217246853879217, 36.795992773310154 -0.717236465768515, 36.62180908139207 -0.894306724550772, 36.61453206566928 -0.898269950505061, 36.60618215985721 -0.909737267744424, 36.39849868619547 -1.550685325965011, 35.767868000892925 -1.973743041126389, 35.569850002798766 -1.862028460720498, 35.714554141726616 -1.317713593112502, 35.78136294678339 -0.716991603621474)), ((35.42959506265435 -0.216063986709189, 35.901239461552265 0.015065233646258, 35.876502225703526 -0.194017671266644, 35.71625137984333 -0.619036380527971, 35.54494088908396 -0.503819680104048, 35.44130488384306 -0.335861116491038, 35.42959506265435 -0.216063986709189)), ((36.26404167030768 1.160587200104762, 36.12801702776845 1.686601176978217, 36.13853109833764 1.950573989119883, 36.132826613631316 2.033151176652984, 36.122591615045444 2.088131718411278, 35.00016641630012 4.882725528103497, 35.29956817700008 4.982906818000174, 35.40792465200019 5.061165809999977, 35.44103622300008 5.05815601400019, 35.419963836000136 4.943777085000079, 35.53735351600005 4.958827020000172, 35.48704910200007 4.777381420000154, 35.583602906000124 4.623889923000036, 35.70475769100011 4.623000146000038, 35.76611328100006 4.681909561000168, 35.78417205700015 4.672879218000048, 35.79262924100016 4.626358033000145, 35.86994934200004 4.627306938000061, 35.965358735 4.511510372000146, 36.04907989600014 4.449375152000187, 36.71187526368482 4.444823676468928, 36.83879852400008 4.443952083000056, 36.949737550000066 4.404215336, 37.03939437900016 4.361724377000144, 37.123687744 4.282770158000062, 37.248085023000044 4.217521668000131, 38.002536773000145 3.722229959000117, 38.12028122000004 3.608499527000106, 38.188457488000154 3.617959500000097, 38.43719482400007 3.601258755000174, 38.44875335700016 3.626455784000143, 38.47618866000005 3.610904217000098, 38.51735305700009 3.626324177000186, 38.51359558100006 3.64697766300003, 38.53275299100011 3.652709246000086, 38.57243728600008 3.603369237000152, 38.60974121100014 3.611129285000061, 38.66241836500018 3.594879151000043, 38.67786788900003 3.621549129000186, 38.71240234400011 3.569098951000058, 38.89591598600015 3.511518718000104, 38.94687652699997 3.512868643000161, 38.962715149000076 3.528238774000101, 39.01528549200009 3.512788535000141, 39.08083724900018 3.538628578000043, 39.20045471200018 3.479108334000045, 39.48600769000012 3.459518194000111, 39.527412415000185 3.398823022000101, 39.5588989260001 3.412437915000112, 39.581886291000046 3.478117943000086, 39.77103805600018 3.668368101999988, 39.86188888600003 3.864088295999977, 40.190769195000144 4.036077976000115, 40.38457107600016 4.101037980000172, 40.775180817000034 4.277197837000074, 40.936901093000074 4.14825725500009, 41.057003021000014 4.026447297, 41.17213439800008 3.96167683699997, 41.21514511100014 3.974926710000034, 41.55581283500004 3.955706357000167, 41.900676727000075 3.985296011000059, 41.926216126000156 4.002295495000112, 41.41205388464602 3.277019413296016, 41.328128815000184 3.158634902000188, 40.986560822000115 2.819380999000089, 40.97850036700015 2.18044591000006, 40.97893450880712 2.17034905776601, 40.3760434951783 1.949280642458735, 40.26846891789083 1.904148125577256, 39.803063758056155 1.68171119354439, 38.87115071030779 0.760251903461643, 38.240160214794635 0.788779306480039, 37.054706843545844 0.982818666151449, 37.03004945495434 0.973107861570038, 37.00904467726659 0.971979431807269, 36.26404167030768 1.160587200104762)))",True,1250.0
13,4,37.7194,-0.8012,KE,"POLYGON ((37.744350983928385 -0.949544940810555, 37.74200556800168 -1.012322243699664, 37.435312552107575 -0.48308303215674, 37.480404677564415 -0.40403664436549, 37.6863888194549 -0.604933526577319, 37.81133408924652 -0.691851975128017, 37.744350983928385 -0.949544940810555))",False,0.0
