,name,x,y,country,geometry,inside_polygon,potential [MWel]
14,40,39.78216153846154,-3.6181076923076927,KE,"MULTIPOLYGON (((39.539585 -4.437916, 39.52458200000018 -4.419028, 39.50041600000014 -4.444584, 39.45069500000011 -4.586805, 39.4359740000001 -4.589861, 39.427082000000155 -4.559861, 39.44014 -4.550694, 39.44899 -4.525934, 39.42847100000017 -4.532916999999884, 39.441807 -4.538471, 39.422359 -4.558473, 39.418194 -4.55236, 39.412918000000104 -4.550415999999871, 39.417362 -4.58069399999988, 39.402363 -4.590139, 39.39708300000012 -4.578193999999883, 39.394306 -4.577359999999885, 39.39819300000016 -4.619027, 39.413193 -4.622362, 39.404583 -4.646527, 39.305416 -4.638751, 39.31402600000018 -4.580138, 39.29819500000019 -4.599584, 39.29291500000011 -4.579582, 39.287640000000124 -4.618195, 39.28125 -4.593749, 39.27041600000018 -4.586805, 39.259304 -4.588473, 39.277916 -4.601805999999897, 39.27486000000016 -4.627084, 39.26708200000019 -4.616804999999886, 39.236526 -4.63486, 39.24652900000012 -4.642361, 39.21929931700015 -4.675781249999943, 38.59993647150987 -4.244286531159853, 38.73668397125724 -4.124030429353553, 39.26808894929046 -4.096085545382785, 39.34737719388819 -4.011685594471447, 39.52689548652914 -3.746837827666096, 38.9891780374716 -3.597818520964833, 39.21387078270445 -2.826880912613354, 39.19007203632383 -2.643012399253193, 38.917194525449275 -2.249806509733182, 38.92749805755543 -1.997109997296461, 38.9822598360431 -1.944130791197626, 39.020279240022646 -1.910813703047622, 39.09382748328984 -1.850243175055042, 39.40179312577657 -1.631420377565734, 39.93375493487338 -1.32967855014464, 40.25770615678333 -1.248769433918192, 41.00407254479219 -0.774290747057287, 41.004299000000174 -0.823577999999827, 41.577358 -1.584806999999898, 41.57541656600017 -1.642637966999871, 41.45902600000011 -1.780138, 41.486252 -1.766805, 41.48041500000011 -1.79874999999987, 41.453194 -1.80264, 41.452084 -1.797362, 41.45708500000012 -1.789027, 41.456249 -1.787638999999899, 41.43680600000016 -1.806249999999864, 41.447083000000134 -1.812361, 41.42930600000011 -1.808749999999861, 41.43680600000016 -1.82069499999983, 41.412083 -1.840973, 41.438751 -1.841526999999871, 41.387360000000115 -1.891250999999841, 41.41125100000016 -1.854862, 41.404305 -1.85875, 41.280693 -1.987083999999868, 41.26152800000011 -1.954583, 41.230141 -1.972082, 41.224304 -1.945137999999815, 41.23569500000019 -1.940138, 41.223194 -1.939584, 41.22152700000015 -1.916528, 41.21930700000013 -1.91486, 41.215416 -1.952917, 41.194305 -1.927083, 41.19458400000019 -1.939305999999817, 41.179585000000145 -1.93264, 41.167362 -1.948751, 41.179028 -1.935416, 41.200138 -1.947360999999887, 41.190971 -1.950139, 41.188194000000124 -1.956527, 41.20319400000011 -1.954026999999883, 41.193195 -1.987362, 41.183193 -1.979027, 41.171806 -1.979861, 41.191807 -1.99625, 41.12569400000018 -1.997916, 41.12513700000011 -1.980138999999895, 41.10374800000017 -2.002082999999857, 41.10041800000016 -1.99236, 41.09624900000017 -1.990415999999868, 41.099583000000166 -2.005695, 41.083473 -2.01375, 41.075974 -1.99736, 41.078194 -2.01819399999988, 41.012360000000115 -2.055972999999881, 40.979027 -2.019859999999881, 40.985695 -1.948194999999885, 41.017361000000164 -1.909028, 41.003193000000124 -1.908194, 40.973473 -1.939027999999894, 40.97514000000018 -1.989306, 40.9598620000001 -2.017083999999898, 40.980694 -2.066249, 40.947083 -2.084861, 40.91875100000016 -2.033473, 40.92097100000012 -1.998750999999857, 40.807640000000106 -1.957361, 40.891529 -2.008195, 40.881527 -2.014584, 40.905972 -2.010139, 40.91319300000015 -2.065693, 40.897362 -2.065138999999874, 40.90124900000012 -2.050971999999831, 40.899029 -2.047916, 40.89708300000018 -2.047916, 40.89236100000011 -2.06875, 40.90736000000015 -2.069862, 40.916527000000144 -2.093748999999889, 40.921528 -2.210693999999876, 40.94291700000019 -2.240416, 40.940971000000104 -2.221527, 40.969028 -2.236806, 40.975971000000186 -2.226249, 40.99041700000015 -2.261805999999865, 40.958195 -2.309861999999839, 40.931252 -2.322917, 40.91291800000016 -2.314027999999837, 40.92291600000016 -2.288749999999879, 40.95180500000015 -2.288471999999899, 40.92736100000019 -2.285415999999884, 40.907082 -2.257362, 40.90874900000017 -2.219583, 40.88546 -2.215648999999871, 40.890972 -2.242638999999826, 40.84791600000011 -2.252360999999894, 40.80541600000015 -2.291249999999877, 40.798195 -2.275416999999834, 40.820972 -2.246527, 40.808750000000146 -2.248472999999876, 40.793194 -2.280417999999884, 40.808472 -2.310418, 40.776249 -2.29958299999987, 40.781807000000185 -2.263471999999865, 40.74652900000018 -2.251526999999896, 40.77791600000012 -2.265694, 40.77125200000012 -2.298195, 40.76125000000013 -2.288194, 40.760418 -2.29486, 40.798195 -2.328473, 40.779583 -2.329583, 40.740971 -2.299305, 40.728195 -2.295695, 40.72375106700014 -2.297360896999976, 40.77125167800011 -2.325973032999968, 40.77763748200016 -2.333194970999955, 40.77569580099998 -2.344027995999852, 40.777363 -2.351251, 40.781528 -2.357638999999892, 40.77875100000011 -2.33514, 40.82624800000019 -2.374306, 40.770416 -2.45430599999986, 40.70624923700012 -2.475693940999975, 40.609859466000046 -2.560971974999973, 40.54319381700009 -2.540972947999933, 40.53819275000012 -2.53402805199994, 40.50236129800015 -2.516248940999901, 40.495971679000036 -2.515139101999978, 40.491378282849716 -2.516792633680837, 40.48208236800002 -2.520138978999967, 40.48125076400015 -2.521527050999964, 40.49184941642102 -2.519349242843663, 40.50152587900004 -2.517360925999981, 40.53013992200016 -2.53402805199994, 40.532638550000115 -2.539304971999911, 40.49575179877087 -2.540525544173447, 40.45708465600012 -2.541805028999931, 40.346805572 -2.591528891999872, 40.354305268000076 -2.577083109999933, 40.35069274900019 -2.573194979999926, 40.33902740500008 -2.596805095999969, 40.26041793800016 -2.647917031999953, 40.198749540999984 -2.734582899999907, 40.18513900000016 -2.727361, 40.193474 -2.745416, 40.17597200000017 -2.784861, 40.186806 -2.777083999999888, 40.1853238861943 -2.787573490998222, 40.16153 -2.955972, 40.17486200000019 -2.960138, 40.190418000000136 -2.98624999999987, 40.177082 -2.980696, 40.169582000000105 -2.998751, 40.23764 -2.977916999999877, 40.24152800000019 -2.989584, 40.201527 -3.010418, 40.15597152700008 -3.083194970999898, 40.163749696000025 -3.131804942999963, 40.121529 -3.199027999999885, 40.13263702300014 -3.256249904999947, 40.12041473300013 -3.291528939999921, 39.976528 -3.390138, 39.965694 -3.344307, 39.9879150000001 -3.347361, 39.991528 -3.32180499999987, 39.969318 -3.32567, 39.957085 -3.344307, 39.96958160500009 -3.406249045999971, 39.95870923542748 -3.431228551544652, 39.87152862500017 -3.631527899999867, 39.845138549000126 -3.635416029999874, 39.82125091500018 -3.60958409199992, 39.81180572400001 -3.621804951999877, 39.80680465700004 -3.609859942999947, 39.80014038000013 -3.606250047999936, 39.79513931300011 -3.609028100999922, 39.811249000000146 -3.647639, 39.83708199900019 -3.63347199999987, 39.86375 -3.643195000999924, 39.86861961580391 -3.681575400127827, 39.87069300000019 -3.697917, 39.839933623229406 -3.793148285677938, 39.830139161000034 -3.823472021999976, 39.788121290537795 -3.915400760658347, 39.77541732900005 -3.943195104999973, 39.728748322 -4.003192900999977, 39.72986221200017 -4.024304865999909, 39.68736267100013 -4.065415858999927, 39.676807403000055 -4.03236198299993, 39.65899104822857 -4.023679198509595, 39.643749 -4.016251, 39.65180587700013 -4.031805991999931, 39.63874817000004 -4.039306162999821, 39.66288023106747 -4.037477806116097, 39.67541503800004 -4.036528110999825, 39.6831932070001 -4.069306848999872, 39.6742040468752 -4.07765408411886, 39.671527863 -4.080139158999884, 39.640415191000045 -4.042359828999963, 39.586528778 -4.05069494199995, 39.58514 -4.036249999999882, 39.573193 -4.025695, 39.56625 -4.025695, 39.55902900000018 -4.041805999999895, 39.57819400000017 -4.031528, 39.566528000000176 -4.048473, 39.588196 -4.067638, 39.57513809200009 -4.084305761999929, 39.575416565000126 -4.086805818999949, 39.59319305500014 -4.06402778699993, 39.63791656600017 -4.050972937999973, 39.645694733000084 -4.073750971999971, 39.67564315999272 -4.082759978604313, 39.67708206100019 -4.083192824999969, 39.67622626113296 -4.084828789499145, 39.629385907720234 -4.174369765428483, 39.61430740399999 -4.203194140999869, 39.54168999832206 -4.431303670994291, 39.539585 -4.437916)), ((40.992085000000145 -2.158194, 41.01125 -2.209027999999876, 40.98986100000013 -2.200693, 40.979862 -2.172361, 40.97874800000011 -2.185972, 40.968193 -2.185694, 40.971806000000186 -2.110973, 41.0420840000001 -2.080973, 41.086529 -2.041806, 41.12319600000012 -2.04625, 41.16624800000011 -2.080973, 41.159027 -2.09764, 41.173195 -2.105972, 41.14597300000014 -2.12875, 41.125973 -2.129859999999894, 41.135693 -2.116805, 41.120419 -2.102083999999877, 41.12791800000019 -2.114027, 41.111252 -2.140417, 41.047916 -2.141249, 41.057915 -2.166250999999818, 41.035137000000134 -2.147084, 41.0395850000001 -2.127916, 41.025696 -2.149306, 40.999306 -2.147362, 41.002361 -2.165695, 40.992085000000145 -2.158194)))",False,0.0
15,43,34.81115,-0.2025,KE,"POLYGON ((34.1751950414818 -0.511310230264101, 34.39907310902387 -0.284484635800476, 34.58928664636942 0.115647247705714, 34.680617513845526 0.176353496123245, 34.8864518010785 -0.187518352468354, 34.9551677075254 -0.185349759947397, 35.029099253174 -0.35637477571655, 34.95663679532913 -0.521727396913757, 34.941008336913605 -0.532199845524102, 34.1751950414818 -0.511310230264101))",False,0.0
16,44,35.10082,-0.57776,KE,"POLYGON ((35.78136294678339 -0.716991603621474, 35.714554141726616 -1.317713593112502, 35.569850002798766 -1.862028460720498, 34.94383573479795 -1.508853890979839, 34.17194366400008 -1.073380349999923, 34.077529908000145 -1.026245950999908, 34.04096984900019 -1.049190043999943, 34.016521454000156 -1.004001020999965, 33.931198121000136 -1.004245042999969, 33.94569 -0.993028998999932, 33.93282100170148 -0.650356242946004, 34.1751950414818 -0.511310230264101, 34.941008336913605 -0.532199845524102, 34.95663679532913 -0.521727396913757, 35.029099253174 -0.35637477571655, 34.9551677075254 -0.185349759947397, 35.0861308303682 0.049871714879191, 35.368743081598616 -0.044638652462147, 35.42959506265435 -0.216063986709189, 35.44130488384306 -0.335861116491038, 35.54494088908396 -0.503819680104048, 35.71625137984333 -0.619036380527971, 35.78136294678339 -0.716991603621474))",False,0.0
17,47,34.82315714285714,0.3241428571428572,KE,"POLYGON ((34.39907310902387 -0.284484635800476, 34.1751950414818 -0.511310230264101, 33.93282100170148 -0.650356242946004, 33.928565999000114 -0.537055, 33.98701499900011 -0.128464999999892, 33.91014900100009 0.106681999000159, 34.04098129300007 0.276609988000132, 34.05624389600018 0.323823004000133, 34.098941804 0.349808991000032, 34.10858154300013 0.380928011000037, 34.08823013400013 0.456667006000146, 34.09718482843205 0.464339278158115, 34.11945724500009 0.483422011000073, 34.116035462000184 0.523136019000106, 34.137580872000115 0.585696995000148, 34.185669 0.606755000000135, 34.199596 0.628707000000134, 34.276802 0.642963001000112, 34.27776300000011 0.681634, 34.313552857000104 0.700783014000137, 34.29826736400008 0.761069, 34.36104965300018 0.77695101400019, 34.41328048600019 0.810401977000083, 34.40552520700004 0.828702987000156, 34.44611358700013 0.863503992, 34.51253847639899 1.071870823427751, 34.53837858926472 1.041104184370797, 35.0546015936756 0.712932099141331, 34.999672776267346 0.411987616135993, 35.00707371924764 0.328831300645468, 35.227553147090816 0.354129650625341, 35.568277475674556 0.225846496103724, 35.956821015123055 0.464683177042357, 36.011934259260414 0.296164584476566, 35.901239461552265 0.015065233646258, 35.42959506265435 -0.216063986709189, 35.368743081598616 -0.044638652462147, 35.0861308303682 0.049871714879191, 34.97616039471441 0.253334504214783, 34.70185658934379 0.193973623003088, 34.680617513845526 0.176353496123245, 34.58928664636942 0.115647247705714, 34.39907310902387 -0.284484635800476))",False,0.0
18,48,36.04345,-0.24065,KE,"POLYGON ((35.71625137984333 -0.619036380527971, 35.876502225703526 -0.194017671266644, 35.901239461552265 0.015065233646258, 36.011934259260414 0.296164584476566, 36.350719546227594 -0.047721514676415, 36.0930454328005 -0.254503137819729, 36.016945845248664 -0.630773320714941, 35.78136294678339 -0.716991603621474, 35.71625137984333 -0.619036380527971))",False,0.0
19,5,35.3587,1.9117,KE,"POLYGON ((36.122591615045444 2.088131718411278, 36.132826613631316 2.033151176652984, 36.13853109833764 1.950573989119883, 36.12801702776845 1.686601176978217, 34.992432612634246 1.677277017994838, 35.00027465900013 1.758708, 35.000171662000184 1.962589979000086, 34.98451995900007 1.985350013000129, 34.914314269000045 2.403162956000187, 34.95437622100013 2.472635984000135, 34.93302536100015 2.51617193200002, 34.91296386800013 2.516817094000146, 34.89383315900011 2.593095064000181, 34.86821365400016 2.570823908000079, 34.79915619000013 2.656076908000045, 34.77537918100006 2.698128938000082, 34.77534866400009 2.78804898400017, 34.73631668100006 2.855247975000168, 34.70171737700008 2.877945901000032, 34.692356110000105 2.863137007000091, 34.652866363000044 2.867825985000081, 34.63926315300006 2.906997920000151, 34.59901046700003 2.924946069000043, 34.572273254000095 3.091681957000105, 34.545787812000185 3.136817932000156, 34.49481582599998 3.141640903000166, 34.45579528800016 3.182281017000093, 34.42993164100005 3.343019962000028, 34.40059280400004 3.370894907999968, 34.41658020000017 3.450973988000158, 34.38894653300002 3.492089032000081, 34.42474746800019 3.492034912000065, 34.45147323600008 3.517456056000015, 34.46319961500018 3.669833899000082, 34.404884338000045 3.693083048000176, 34.365047455000024 3.735503913000116, 34.33100128300015 3.733386039000038, 34.30790329000013 3.71173000400006, 34.245563506999986 3.784239054000068, 34.17085647599998 3.768052101000023, 34.18862533600009 3.795481921000089, 34.15315246600011 3.807317019000038, 34.18004226700003 3.83191204100001, 34.22599029500003 3.831358910000176, 34.21554946800006 3.881216049000045, 34.08841705300006 3.861624003000088, 34.09141922100014 3.885601044000055, 34.11990737900004 3.901195050000126, 34.13462066600016 3.961710931000141, 34.060035706 4.00988102000008, 34.05881881600004 4.028066158000115, 34.087600707000036 4.037001134000093, 34.09160232500017 4.061655999000152, 34.04951477000009 4.12149715400011, 34.06566619900002 4.144390106000174, 34.001964569000165 4.221364975000029, 34.01774978700007 4.236031055000069, 33.99208831900012 4.255958081000074, 34.37145996099997 4.624292374, 34.928688050000176 4.858808518000103, 35.00016641630012 4.882725528103497, 36.122591615045444 2.088131718411278))",False,0.0
20,51,37.5911,-0.8621,KE,"POLYGON ((37.721910902999035 -1.361775471881771, 37.52146218510448 -1.263506222884058, 37.31530551247196 -0.945826653713013, 37.23896885536158 -0.739419369933091, 37.435312552107575 -0.48308303215674, 37.74200556800168 -1.012322243699664, 37.7681997947905 -1.126708867191646, 37.721910902999035 -1.361775471881771))",False,0.0
21,52,37.7254,-2.2281,KE,"POLYGON ((37.1784820536827 -2.198406473319847, 37.56719346919259 -1.837772774814565, 37.90433737900173 -1.594655289151381, 38.53807380074489 -1.74675995764888, 38.92749805755543 -1.997109997296461, 38.917194525449275 -2.249806509733182, 37.68542849749069 -3.146426219719031, 37.672573089000025 -3.067704914999979, 37.62069702100018 -3.025604486999896, 36.952699717390125 -2.642808190093998, 37.1784820536827 -2.198406473319847))",True,1250.0
22,55,37.01316666666667,-1.1017666666666666,KE,"POLYGON ((37.18244591393739 -1.365261855172984, 37.03574108010547 -1.198001214765784, 37.03541326014044 -1.152106419660975, 36.95644793177847 -1.070309970030215, 36.84021774204513 -1.18380211053544, 36.82943622974264 -1.187020292519525, 36.62180908139207 -0.894306724550772, 36.795992773310154 -0.717236465768515, 36.9256276218273 -0.750654514908303, 37.23896885536158 -0.739419369933091, 37.31530551247196 -0.945826653713013, 37.52146218510448 -1.263506222884058, 37.18244591393739 -1.365261855172984))",True,1250.0
23,57,36.9537,-1.4588,KE,"POLYGON ((37.13848163392042 -1.405485493351557, 37.0949753974088 -1.52624001912386, 36.990829891986635 -1.654306445322681, 36.69895555698546 -1.541684040219185, 36.70570993298538 -1.537211318475734, 37.00400176590301 -1.377791692807182, 37.13848163392042 -1.405485493351557))",False,0.0
24,58,38.5716,-3.3906,KE,"POLYGON ((38.59993647150987 -4.244286531159853, 37.78580093400012 -3.677098512999976, 37.74409484800009 -3.544127939999896, 37.67369842400012 -3.509004115999971, 37.62649154700017 -3.530776023999977, 37.603553772000055 -3.52060103499997, 37.62714767500012 -3.467250107999973, 37.58544921900017 -3.462085007999974, 37.58544921900017 -3.440469264999933, 37.641113282 -3.378112792999957, 37.680835724000076 -3.357099532999939, 37.68562316800006 -3.32360768399991, 37.71141052200011 -3.305529593999893, 37.68542849749069 -3.146426219719031, 38.917194525449275 -2.249806509733182, 39.19007203632383 -2.643012399253193, 39.21387078270445 -2.826880912613354, 38.9891780374716 -3.597818520964833, 38.73668397125724 -4.124030429353553, 38.59993647150987 -4.244286531159853))",False,0.0
25,59,37.2183,-1.6076,KE,"POLYGON ((37.0949753974088 -1.52624001912386, 37.13848163392042 -1.405485493351557, 37.18244591393739 -1.365261855172984, 37.52146218510448 -1.263506222884058, 37.721910902999035 -1.361775471881771, 37.90433737900173 -1.594655289151381, 37.56719346919259 -1.837772774814565, 37.1784820536827 -2.198406473319847, 36.990829891986635 -1.654306445322681, 37.0949753974088 -1.52624001912386))",True,1250.0
26,65,38.01903333333333,-0.8693333333333334,KE,"POLYGON ((37.90433737900173 -1.594655289151381, 37.721910902999035 -1.361775471881771, 37.7681997947905 -1.126708867191646, 37.74200556800168 -1.012322243699664, 37.744350983928385 -0.949544940810555, 37.81133408924652 -0.691851975128017, 37.9984053382646 -0.758814979037897, 38.03507949282874 -0.74364272988765, 38.37566855517555 -0.297462798171397, 38.49383271292297 -1.557092719758876, 38.53807380074489 -1.74675995764888, 37.90433737900173 -1.594655289151381))",False,0.0
27,67,35.3625,1.4489,KE,"POLYGON ((36.12801702776845 1.686601176978217, 36.26404167030768 1.160587200104762, 36.024681254034085 0.932964038286072, 35.725330218061245 0.931551052951067, 35.613701935006866 0.943266076855624, 34.85092042308682 1.481352259682937, 34.864044189000026 1.528481961000125, 34.943637848000094 1.576753974000098, 34.96029663100006 1.604046940000046, 34.991203307000035 1.664512038000055, 34.992432612634246 1.677277017994838, 36.12801702776845 1.686601176978217))",False,0.0
28,69,36.1387,-0.3036,KE,"POLYGON ((36.0930454328005 -0.254503137819729, 36.350719546227594 -0.047721514676415, 36.60339049649124 -0.21699679175091, 36.13148165055844 -0.608254549607624, 36.016945845248664 -0.630773320714941, 36.0930454328005 -0.254503137819729))",False,0.0
29,85,36.8747,-1.3395,KE,"POLYGON ((36.70570993298538 -1.537211318475734, 36.69895555698546 -1.541684040219185, 36.530820483285126 -1.525168356651198, 36.8035017504774 -1.2535258752387, 36.93216202715809 -1.317856013579048, 36.70570993298538 -1.537211318475734))",False,0.0
30,86,36.9087,-1.3746,KE,"POLYGON ((37.00400176590301 -1.377791692807182, 36.70570993298538 -1.537211318475734, 36.93216202715809 -1.317856013579048, 36.9369698134026 -1.318117803149838, 37.00400176590301 -1.377791692807182))",False,0.0
31,9,36.9445,-1.1649,KE,"POLYGON ((36.84021774204513 -1.18380211053544, 36.95644793177847 -1.070309970030215, 37.03541326014044 -1.152106419660975, 37.03574108010547 -1.198001214765784, 36.96795882053398 -1.223891066018642, 36.84021774204513 -1.18380211053544))",False,0.0
